Name;XT;Module;Channel

FILLER_M_1;AI;1;1
FILLER_M_2;AI;1;2
FILLER_M_3;AI;1;3
FILLER_M_4;AI;1;4

FILLER_M_5;AI;2;1
FILLER_M_6;AI;2;2

DFILLER_CLOSED_1;DI;3;1
DFILLER_CLOSED_2;DI;3;2
DFILLER_CLOSED_3;DI;3;3
DFILLER_CLOSED_4;DI;3;4
DFILLER_CLOSED_5;DI;3;5
DFILLER_CLOSED_6;DI;3;6
FILLER_CLOSED_1;DI;3;7
FILLER_CLOSED_2;DI;3;8

FILLER_CLOSED_3;DI;4;1
FILLER_CLOSED_4;DI;4;2
FILLER_CLOSED_5;DI;4;3
FILLER_CLOSED_6;DI;4;4
FILLER_CLOSED_7;DI;4;5
FILLER_CLOSED_8;DI;4;6
FILLER_CLOSED_9;DI;4;7
FILLER_CLOSED_10;DI;4;8

FILLER_CLOSED_11;DI;5;1
FILLER_CLOSED_12;DI;5;2

DFILLER_OPEN_1;DO;6;1
DFILLER_OPEN_2;DO;6;2
DFILLER_OPEN_3;DO;6;3
DFILLER_OPEN_4;DO;6;4
DFILLER_OPEN_5;DO;6;5
DFILLER_OPEN_6;DO;6;6
FILLER_OPEN_1;DO;6;7
FILLER_OPEN_2;DO;6;8

FILLER_OPEN_3;DO;7;1
FILLER_OPEN_4;DO;7;2
FILLER_OPEN_5;DO;7;3
FILLER_OPEN_6;DO;7;4
FILLER_OPEN_7;DO;7;5
FILLER_OPEN_8;DO;7;6
FILLER_OPEN_9;DO;7;7
FILLER_OPEN_10;DO;7;8

FILLER_OPEN_11;DO;8;1
FILLER_OPEN_12;DO;8;2
VIBRATOR_ON_1;DO;8;3
VIBRATOR_ON_2;DO;8;4
VIBRATOR_ON_3;DO;8;5
VIBRATOR_ON_4;DO;8;6
VIBRATOR_ON_5;DO;8;7
VIBRATOR_ON_6;DO;8;8

DF_VIBRATOR_ON_1;DO;9;1
DF_VIBRATOR_ON_2;DO;9;2
DF_VIBRATOR_ON_3;DO;9;3
HEARTBEAT_1;DO;9;8
